id,spkid,full_name,pdes,name,prefix,neo,pha,H,diameter,albedo,diameter_sigma,orbit_id,epoch,epoch_mjd,epoch_cal,equinox,e,a,q,i,om,w,ma,ad,n,tp,tp_cal,per,per_y,moid,moid_ld,sigma_e,sigma_a,sigma_q,sigma_i,sigma_om,sigma_w,sigma_ma,sigma_ad,sigma_n,sigma_tp,sigma_per,class,rms
a0000001,2000001,"     1 Ceres",1,Ceres,,N,N,3.4,939.4,0.090,0.2,"JPL 47",2458600.5,58600,20190427.0000000,J2000,.0760090265983052,2.769165148633284,2.558683601195717,10.59406719506626,80.30553090445737,73.59769469844186,77.37209751948711,2.979646696070851,.2138852265918273,2458238.754129317955,20180430.2541293,1683.145702657688,4.60820178687936,1.59478,620.6405326,4.819E-12,1.0328E-11,1.9569E-11,4.6089E-9,6.1688E-8,6.6248E-8,7.8207E-9,1.1113E-11,1.1965E-12,3.7829E-8,9.4159E-9,MBA,.43301
a0000002,2000002,"     2 Pallas",2,Pallas,,N,N,4.2,545,0.101,18,"JPL 37",2459000.5,59000,20200531.0000000,J2000,.2299722588646258,2.773841434873298,2.135934854363191,34.83293159121413,173.0247412488342,310.2023924446679,144.9756754788195,3.411748015383405,.213344586343708,2458320.962365774508,20180721.4623658,1687.410991624711,4.61987951163507,1.23429,480.3486393,3.1934E-8,4.0337E-9,8.8322E-8,3.4694E-6,6.2724E-6,9.1282E-6,8.8591E-6,4.9613E-9,4.6536E-10,4.0787E-5,3.6807E-6,MBA,.35936
a0000003,2000003,"     3 Juno",3,Juno,,N,N,5.33,246.596,0.214,10.594,"JPL 112",2459000.5,59000,20200531.0000000,J2000,.2569364345017789,2.66828528813587,1.982705579968687,12.99104349619575,169.8514824901798,248.0661932666256,125.4353546073513,3.353864996303052,.2261286975791392,2458445.792190021781,20181123.2921900,1592.01376850459,4.35869614922543,1.03429,402.5146393,3.052E-8,3.4718E-9,8.1392E-8,3.2231E-6,1.6646E-5,1.7721E-5,8.1104E-6,4.3639E-9,4.4134E-10,3.5288E-5,3.1072E-6,MBA,.33848
a0000004,2000004,"     4 Vesta",4,Vesta,,N,N,3.0,525.4,0.4228,0.2,"JPL 35",2458600.5,58600,20190427.0000000,J2000,.08872145978916499,2.361417893971132,2.151909451245757,7.141771087953539,103.8108039679376,150.7285410950405,95.86193772405923,2.570926336696506,.2716094018601813,2458247.559575009090,20180509.0595750,1325.432763131374,3.62883713382991,1.13948,443.4514316,2.3321E-10,1.5143E-9,1.9286E-9,2.1706E-7,3.8808E-7,1.7893E-7,1.2068E-6,1.6486E-9,2.6125E-10,4.1037E-6,1.2749E-6,MBA,.3998
a0000005,2000005,"     5 Astraea",5,Astraea,,N,N,6.9,106.699,0.274,3.140,"JPL 114",2459000.5,59000,20200531.0000000,J2000,.1909133441041888,2.574037280352932,2.082619215311902,5.367427135741621,141.5710264957903,358.6484180421261,17.84634261488834,3.065455345393962,.2386612027776379,2458925.723109549499,20200317.2231095,1508.414420987454,4.12981360982191,1.09575,426.4330275,2.3737E-8,3.9709E-9,6.0924E-8,2.7408E-6,2.8949E-5,2.9842E-5,8.3038E-6,4.729E-9,5.5227E-10,3.4743E-5,3.4905E-6,MBA,.52191
a0000006,2000006,"     6 Hebe",6,Hebe,,N,N,5.8,185.18,0.2679,2.9,"JPL 89",2459000.5,59000,20200531.0000000,J2000,.2032188263290013,2.424532678799263,1.931821993417367,14.73965331578634,138.6434315232777,239.7362732125505,190.6864963203412,2.917243364181159,.261073030707869,2459649.029276350702,20220310.5292764,1378.924506387742,3.77528954520942,.973673,378.92432141,1.9786E-8,2.7482E-9,4.8119E-8,2.1918E-6,1.1221E-5,1.3006E-5,7.3922E-6,3.3067E-9,4.4388E-10,2.8754E-5,2.3445E-6,MBA,.41032
a0000007,2000007,"     7 Iris",7,Iris,,N,N,5.6,199.83,0.2766,10.0,110,2459000.5,59000,20200531.0000000,J2000,.2301450441723081,2.387375340730209,1.837932737481976,5.521598289470869,259.5639433694173,145.201544600335,247.4258114624762,2.936817943978441,.2671917339417878,2459421.823619846900,20210726.3236198,1347.347070543851,3.68883523762861,.850693,331.06419481,1.9919E-8,2.0075E-9,4.7488E-8,2.5825E-6,2.6412E-5,2.7075E-5,7.0147E-6,2.4695E-9,3.3701E-10,2.6627E-5,1.6994E-6,MBA,.38128
a0000008,2000008,"     8 Flora",8,Flora,,N,N,6.5,147.491,0.226,1.025,"JPL 118",2459000.5,59000,20200531.0000000,J2000,.1558327925788342,2.201414664735624,1.858362069905874,5.889080654551788,110.8765239101335,285.4589150695398,315.3180129948375,2.544467259565375,.301752787794208,2459148.574810946354,20201026.0748109,1193.0295744128,3.26633695937796,.87598,340.9051366,2.3644E-8,2.3084E-9,5.176E-8,3.2403E-6,2.432E-5,2.6646E-5,1.2092E-5,2.6681E-9,4.7462E-10,4.0187E-5,1.8765E-6,MBA,.54186
a0000009,2000009,"     9 Metis",9,Metis,,N,N,6.3,190,0.118,,"JPL 116",2459000.5,59000,20200531.0000000,J2000,.1233002380520597,2.386189445512451,2.091971718843454,5.576493847075963,68.9094592620561,6.33732451976998,23.91220404136906,2.680407172181449,.2673909432494424,2458911.072124280732,20200302.5721243,1346.343281582895,3.68608701323175,1.10711,430.8539987,1.8414E-8,3.0893E-9,4.4258E-8,2.0074E-6,2.417E-5,2.6008E-5,1.0366E-5,3.4702E-9,5.1927E-10,3.8707E-5,2.6146E-6,MBA,.44895
a0000010,2000010,"    10 Hygiea",10,Hygiea,,N,N,5.5,407.12,0.0717,6.8,"JPL 96",2459000.5,59000,20200531.0000000,J2000,.1121173200748112,3.142435383511873,2.79011394980426,3.831786065854603,283.1984443208443,312.4129316933437,222.850543374369,3.494756817219485,.1769312474587196,2459775.656783188508,20220715.1567832,2034.688644152542,5.57067390596179,1.7803,692.839351,1.6346E-8,6.9236E-9,5.0952E-8,2.1734E-6,2.8552E-5,3.0237E-5,1.1246E-5,7.6998E-9,5.8474E-10,6.4829E-5,6.7244E-6,MBA,.53434
a0000011,2000011,"    11 Parthenope",11,Parthenope,,N,N,6.5,142.887,0.191,1.008,"JPL 106",2459000.5,59000,20200531.0000000,J2000,.09982331519407241,2.452389779437578,2.207584101506059,4.631824772294455,125.5283793492349,195.3590505295931,21.70182201529093,2.697195457369097,.2566373296054931,2458915.937781211910,20200307.4377812,1402.757738141203,3.84054137752554,1.19498,465.0503666,3.0687E-8,2.4094E-9,7.5664E-8,3.4188E-6,2.4844E-5,2.7791E-5,1.2035E-5,2.6499E-9,3.782E-10,4.6873E-5,2.0672E-6,MBA,.46367
a0000012,2000012,"    12 Victoria",12,Victoria,,N,N,7.3,115.087,0.163,1.199,"JPL 119",2459000.5,59000,20200531.0000000,J2000,.2204390917077806,2.333777698761642,1.819321862598752,8.372748678532675,235.4010328621947,69.69422189733905,243.8347334591566,2.848233534924533,.2764488869412948,2459420.705224286223,20210725.2052243,1302.229876861279,3.56531109339159,.82468,320.9407156,2.4482E-8,2.3661E-9,5.7302E-8,2.5174E-6,1.9033E-5,1.9947E-5,7.3902E-6,2.8876E-9,4.2041E-10,2.71E-5,1.9804E-6,MBA,.54993
a0000013,2000013,"    13 Egeria",13,Egeria,,N,N,6.8,202.636,0.070,7.870,"JPL 91",2459000.5,59000,20200531.0000000,J2000,.08528311134387449,2.576063889099231,2.356369145616247,16.53553175374091,43.2210228007982,80.41454240386794,283.0025921738223,2.795758632582215,.2383796233436503,2459323.503311886174,20210419.0033119,1510.196194416419,4.1346918396069,1.4357,558.731369,3.2661E-8,3.4708E-9,8.3919E-8,3.7826E-6,1.2765E-5,2.5806E-5,2.2196E-5,3.7668E-9,4.8176E-10,9.3199E-5,3.0521E-6,MBA,.56183
